17;111115099;F;00000000000000000339;150;00000019146,35;C;00000006092,84;00000123304,85;00000136358,36;C;
17;111115099;F;00000000000000000400;150;00000013242,24;D;00000000894,25;00000000000,00;00000014136,49;D;
17;111115099;F;00000000000000000405;150;00000009650,10;D;00000000195,37;00000000000,00;00000009845,47;D;
17;111115099;F;00000000000000005113;152;00000064724,01;D;00000000465,76;00000000000,00;00000065189,77;D;
17;111115099;F;00000000000000000394;153;00000036175,82;D;00000000414,99;00000000000,00;00000036590,81;D;
17;111115099;F;00000000000000000414;153;00000050996,69;C;00000000322,59;00000000000,00;00000050674,10;C;
17;111115099;F;00000000000000000217;155;00000031422,76;C;00000000000,00;00000000000,00;00000031422,76;C;
17;111115099;F;00000000000000000395;155;00000038569,31;C;00000000000,00;00000000000,00;00000038569,31;C;
17;111115099;F;00000000000000000396;155;00000186083,50;D;00000003536,04;00000125482,25;00000064137,29;D;
17;111115099;F;00000000000000000401;155;00000000703,33;C;00000000035,96;00000000000,00;00000000667,37;C;
17;111115099;F;00000000000000000415;155;00000001467,43;D;00000000129,25;00000006919,85;00000005323,17;C;
17;111115099;F;00000000000000004057;155;00000035355,58;D;00000000284,52;00000000000,00;00000035640,10;D;
17;111115099;F;00000000000000005116;155;00000000031,57;D;00000106528,31;00000000000,00;00000106559,88;D;
17;111115099;F;00000000000000000416;156;00000000405,81;D;00000000267,74;00000007244,10;00000006570,55;C;
17;111115099;F;00000000000000005115;157;00000150276,87;D;00000000936,54;00000000000,00;00000151213,41;D;
10;112110105;00001403570,66;C;00000002330,53;00000218429,12;00001619669,25;C;
15;112110105;P;00001403570,66;C;00000002330,53;00000218429,12;00001619669,25;C;
10;112510105;00000878945,08;D;00000000985,50;00000149843,45;00000730087,13;D;
15;112510105;P;00000878945,08;D;00000000985,50;00000149843,45;00000730087,13;D;
10;112510107;00001771588,63;D;00000000000,00;00000020682,66;00001750905,97;D;
15;112510107;P;00001771588,63;D;00000000000,00;00000020682,66;00001750905,97;D;
10;112510201;00001041877,14;D;00000000000,00;00000000000,00;00001041877,14;D;
15;112510201;P;00001041877,14;D;00000000000,00;00000000000,00;00001041877,14;D;
10;113210400;00000000191,94;C;00000000000,00;00000000000,00;00000000191,94;C;
15;113210400;P;00000000191,94;C;00000000000,00;00000000000,00;00000000191,94;C;
10;113810800;00000020913,22;D;00000002996,33;00000005048,20;00000018861,35;D;
15;113810800;F;00000020913,22;D;00000002996,33;00000005048,20;00000018861,35;D;
10;113810900;00000050066,35;D;00000012482,23;00000009224,41;00000053324,17;D;
15;113810900;F;00000050066,35;D;00000012482,23;00000009224,41;00000053324,17;D;
10;113811700;00000121255,61;D;00000000000,00;00000000000,00;00000121255,61;D;
15;113811700;F;00000121255,61;D;00000000000,00;00000000000,00;00000121255,61;D;
10;114110904;00000006720,70;C;00000000000,00;00000000000,00;00000006720,70;C;
10;114910100;00000075195,17;D;00000000000,00;00000000000,00;00000075195,17;D;
15;114910100;P;00000075195,17;D;00000000000,00;00000000000,00;00000075195,17;D;
10;114910200;00000002114,32;C;00000000000,00;00000000000,00;00000002114,32;C;
15;114910200;P;00000002114,32;C;00000000000,00;00000000000,00;00000002114,32;C;
10;115610100;00004676076,20;D;00000535666,96;00000038788,80;00005172954,36;D;
15;115610100;P;00004676076,20;D;00000535666,96;00000038788,80;00005172954,36;D;
10;115610200;00001985192,55;D;00000139380,53;00000000997,15;00002123575,93;D;
15;115610200;P;00001985192,55;D;00000139380,53;00000000997,15;00002123575,93;D;
10;115610500;00000745749,65;D;00000036856,18;00000000252,60;00000782353,23;D;
15;115610500;P;00000745749,65;D;00000036856,18;00000000252,60;00000782353,23;D;
10;115610800;00000259780,57;D;00000009283,83;00000000420,00;00000268644,40;D;
15;115610800;P;00000259780,57;D;00000009283,83;00000000420,00;00000268644,40;D;
10;115610900;00000284107,91;D;00000028958,55;00000000700,00;00000312366,46;D;
15;115610900;P;00000284107,91;D;00000028958,55;00000000700,00;00000312366,46;D;
10;123110101;00000039350,00;D;00000000000,00;00000000000,00;00000039350,00;D;
15;123110101;P;00000039350,00;D;00000000000,00;00000000000,00;00000039350,00;D;
10;123110102;00000028561,60;D;00000000000,00;00000000000,00;00000028561,60;D;
15;123110102;P;00000028561,60;D;00000000000,00;00000000000,00;00000028561,60;D;
10;123110103;00000039007,00;D;00000167155,20;00000000000,00;00000206162,20;D;
15;123110103;P;00000039007,00;D;00000167155,20;00000000000,00;00000206162,20;D;
10;123110104;00000060000,00;D;00000000000,00;00000000000,00;00000060000,00;D;
15;123110104;P;00000060000,00;D;00000000000,00;00000000000,00;00000060000,00;D;
10;123110105;00000002665,50;D;00000000000,00;00000000000,00;00000002665,50;D;
15;123110105;P;00000002665,50;D;00000000000,00;00000000000,00;00000002665,50;D;
10;123110107;00000001261,60;D;00000000000,00;00000000000,00;00000001261,60;D;
15;123110107;P;00000001261,60;D;00000000000,00;00000000000,00;00000001261,60;D;
10;123110109;00000000550,00;D;00000000000,00;00000000000,00;00000000550,00;D;
15;123110109;P;00000000550,00;D;00000000000,00;00000000000,00;00000000550,00;D;
10;123110117;00000003317,00;D;00000000000,00;00000000000,00;00000003317,00;D;
15;123110117;P;00000003317,00;D;00000000000,00;00000000000,00;00000003317,00;D;
10;123110121;00000001504,00;D;00000000000,00;00000000000,00;00000001504,00;D;
15;123110121;P;00000001504,00;D;00000000000,00;00000000000,00;00000001504,00;D;
10;123110199;00000486872,60;D;00000190796,76;00000029743,60;00000647925,76;D;
15;123110199;P;00000486872,60;D;00000190796,76;00000029743,60;00000647925,76;D;
10;123110201;00000067781,18;D;00000074637,08;00000000000,00;00000142418,26;D;
15;123110201;P;00000067781,18;D;00000074637,08;00000000000,00;00000142418,26;D;
10;123110301;00000210877,50;D;00000027675,00;00000000000,00;00000238552,50;D;
15;123110301;P;00000210877,50;D;00000027675,00;00000000000,00;00000238552,50;D;
